f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
0.0,0.0,-0.0,0.112148,-0.076615,-0.020252,0.168998,-0.222049,-0.026639,0.174229,-0.356388,-0.038951,0.184422,-0.45018,-0.047525,0.130703,-0.316798,0.013515,0.139592,-0.408417,-0.049947,0.138515,-0.320301,-0.095083,0.134571,-0.227854,-0.115541,0.061515,-0.31479,-0.000423,0.076315,-0.406724,-0.077185,0.087836,-0.275927,-0.115365,0.08694,-0.172414,-0.124254,-0.003,-0.298632,-0.023042,0.011903,-0.380257,-0.101834,0.034122,-0.240956,-0.110994,0.040904,-0.145368,-0.095486,-0.068495,-0.267166,-0.046937,-0.041729,-0.313498,-0.105384,-0.020859,-0.215741,-0.109636,-0.010693,-0.14472,-0.097706,A
0.0,0.0,-0.0,0.110414,-0.079034,-0.021607,0.164612,-0.225015,-0.029064,0.171107,-0.357069,-0.042295,0.183022,-0.452081,-0.051981,0.128965,-0.320755,0.010432,0.13858,-0.409974,-0.054554,0.137756,-0.323559,-0.100689,0.134968,-0.232286,-0.121791,0.059844,-0.319025,-0.003316,0.075254,-0.405296,-0.082043,0.087562,-0.273501,-0.120717,0.087975,-0.168445,-0.129809,-0.004668,-0.302173,-0.025888,0.011034,-0.378429,-0.10735,0.032901,-0.238339,-0.117757,0.039597,-0.141966,-0.102701,-0.070298,-0.269167,-0.049711,-0.043049,-0.312929,-0.110835,-0.022456,-0.214568,-0.116257,-0.012379,-0.14329,-0.104784,A
0.0,0.0,-0.0,0.109612,-0.076032,-0.020654,0.165847,-0.220967,-0.027236,0.172271,-0.352148,-0.039393,0.183861,-0.44652,-0.047963,0.130535,-0.318616,0.011045,0.138877,-0.408338,-0.051287,0.138373,-0.320816,-0.09491,0.137416,-0.229756,-0.114569,0.060848,-0.317854,-0.002396,0.075086,-0.405335,-0.078211,0.08603,-0.272681,-0.114365,0.086983,-0.169498,-0.121814,-0.004174,-0.301198,-0.024396,0.009747,-0.378125,-0.102888,0.03111,-0.237995,-0.111665,0.039189,-0.142882,-0.095896,-0.069699,-0.267851,-0.047581,-0.045451,-0.311208,-0.10598,-0.024024,-0.213526,-0.110475,-0.012143,-0.142893,-0.098648,A
0.0,0.0,-0.0,0.112151,-0.077368,-0.021594,0.168985,-0.221894,-0.028892,0.175768,-0.354792,-0.041866,0.18602,-0.448951,-0.051126,0.131935,-0.317536,0.011128,0.141613,-0.40584,-0.053965,0.139946,-0.318047,-0.100182,0.136297,-0.227085,-0.121299,0.062401,-0.315757,-0.002695,0.078041,-0.404947,-0.08175,0.088908,-0.272631,-0.120838,0.088298,-0.168205,-0.12999,-0.002255,-0.29931,-0.025293,0.012723,-0.378293,-0.106472,0.034508,-0.238009,-0.116488,0.041605,-0.141829,-0.101075,-0.067816,-0.26748,-0.049189,-0.041722,-0.311916,-0.10941,-0.021176,-0.213729,-0.114409,-0.010636,-0.142472,-0.102732,A
0.0,0.0,-0.0,0.104249,-0.075033,-0.020626,0.159727,-0.219294,-0.026682,0.166755,-0.349307,-0.037569,0.178353,-0.443694,-0.044945,0.123083,-0.317459,0.007092,0.13388,-0.402771,-0.050934,0.131973,-0.31562,-0.089978,0.13027,-0.226127,-0.106859,0.053682,-0.316201,-0.005126,0.070507,-0.405899,-0.075445,0.080197,-0.276085,-0.106444,0.081985,-0.172373,-0.111194,-0.010393,-0.298573,-0.02536,0.006041,-0.374065,-0.099178,0.025968,-0.236309,-0.105147,0.033447,-0.14127,-0.088656,-0.07381,-0.263658,-0.046712,-0.049048,-0.309886,-0.102191,-0.028458,-0.213108,-0.104789,-0.017707,-0.142,-0.092336,A
0.0,0.0,-0.0,0.107254,-0.077242,-0.020467,0.161723,-0.223718,-0.027639,0.166889,-0.356522,-0.040018,0.180046,-0.451426,-0.049037,0.124632,-0.322258,0.006548,0.135235,-0.409933,-0.053301,0.133856,-0.32313,-0.094576,0.130661,-0.232638,-0.112912,0.054325,-0.319538,-0.006331,0.069894,-0.407807,-0.0781,0.08136,-0.275285,-0.110717,0.08252,-0.169667,-0.116905,-0.010508,-0.301492,-0.027307,0.006213,-0.379401,-0.101909,0.027794,-0.240146,-0.108083,0.034978,-0.14318,-0.091991,-0.07531,-0.2664,-0.04947,-0.049521,-0.315445,-0.10542,-0.028318,-0.217991,-0.107866,-0.018235,-0.145304,-0.095463,A
0.0,0.0,-0.0,0.109837,-0.075789,-0.02151,0.166667,-0.221445,-0.028789,0.173386,-0.354414,-0.041336,0.181838,-0.449539,-0.050317,0.129734,-0.317676,0.008879,0.138709,-0.406315,-0.054134,0.137461,-0.318081,-0.098243,0.134809,-0.227175,-0.118114,0.059603,-0.316174,-0.00428,0.074683,-0.404958,-0.080068,0.084826,-0.271674,-0.115925,0.084675,-0.167811,-0.123349,-0.00537,-0.299117,-0.025975,0.009282,-0.377923,-0.103805,0.030439,-0.238465,-0.111717,0.037736,-0.143343,-0.095694,-0.070721,-0.266361,-0.048985,-0.045803,-0.31191,-0.10634,-0.024724,-0.214747,-0.109825,-0.013752,-0.143757,-0.097607,A
0.0,0.0,-0.0,0.106945,-0.07892,-0.020845,0.162034,-0.226714,-0.027163,0.167771,-0.358709,-0.038584,0.17732,-0.454295,-0.046397,0.122264,-0.325698,0.007555,0.133838,-0.414624,-0.05141,0.132357,-0.326861,-0.091351,0.130565,-0.236387,-0.108694,0.052087,-0.32321,-0.004858,0.068245,-0.414887,-0.07577,0.079967,-0.284435,-0.107122,0.08288,-0.179165,-0.112103,-0.012784,-0.304519,-0.025521,0.004103,-0.381112,-0.099926,0.025616,-0.241997,-0.105862,0.033751,-0.145403,-0.089209,-0.076775,-0.268463,-0.04737,-0.050443,-0.315886,-0.102966,-0.028923,-0.218507,-0.105354,-0.018033,-0.146391,-0.092722,A
0.0,0.0,-0.0,0.10883,-0.077978,-0.021348,0.164696,-0.224896,-0.028748,0.171252,-0.35886,-0.041284,0.181837,-0.455251,-0.050467,0.127694,-0.322406,0.006884,0.136744,-0.411429,-0.054266,0.135711,-0.32586,-0.096817,0.133294,-0.235989,-0.116042,0.057486,-0.31954,-0.006083,0.072775,-0.406592,-0.079692,0.083884,-0.274648,-0.113904,0.08416,-0.16893,-0.121032,-0.007658,-0.301957,-0.027375,0.007925,-0.377198,-0.103762,0.029604,-0.238343,-0.111231,0.036837,-0.141218,-0.095673,-0.073336,-0.26823,-0.049958,-0.047974,-0.314765,-0.107346,-0.02737,-0.216728,-0.110868,-0.017049,-0.144038,-0.09906,A
0.0,0.0,-0.0,0.109477,-0.077094,-0.022345,0.16459,-0.222413,-0.030056,0.17022,-0.35554,-0.042934,0.181514,-0.450189,-0.052259,0.127987,-0.317975,0.007479,0.137154,-0.406221,-0.055912,0.136186,-0.320138,-0.100294,0.133569,-0.23022,-0.120477,0.057913,-0.315782,-0.005461,0.073611,-0.401308,-0.082386,0.084479,-0.267851,-0.118881,0.084522,-0.162913,-0.126818,-0.006514,-0.298745,-0.026987,0.009174,-0.373829,-0.106455,0.030976,-0.233558,-0.115233,0.038213,-0.137231,-0.099679,-0.071796,-0.26628,-0.049817,-0.046007,-0.310325,-0.109389,-0.025223,-0.212286,-0.113992,-0.014609,-0.141123,-0.102385,A
0.0,0.0,-0.0,0.112673,-0.06594,-0.020137,0.176402,-0.206089,-0.02703,0.195753,-0.338646,-0.039519,0.194851,-0.433434,-0.049198,0.142065,-0.287079,0.008735,0.14749,-0.372785,-0.057778,0.13808,-0.287929,-0.105496,0.128518,-0.2008,-0.127612,0.071388,-0.286503,-0.005864,0.085398,-0.373244,-0.087465,0.084451,-0.241648,-0.126062,0.07714,-0.138776,-0.134392,0.006201,-0.274352,-0.028767,0.02003,-0.350833,-0.10997,0.030354,-0.215997,-0.118034,0.031357,-0.122368,-0.101295,-0.0579,-0.249063,-0.053014,-0.03606,-0.290863,-0.110968,-0.022098,-0.198251,-0.11427,-0.013805,-0.131301,-0.101925,A
0.0,0.0,-0.0,0.114149,-0.068959,-0.01988,0.177798,-0.208623,-0.027036,0.194857,-0.339573,-0.039775,0.193222,-0.434569,-0.049441,0.139656,-0.287634,0.008959,0.149596,-0.373026,-0.057359,0.140429,-0.286798,-0.104313,0.130541,-0.199616,-0.125678,0.071248,-0.287588,-0.00553,0.088036,-0.374591,-0.085716,0.087777,-0.244846,-0.123648,0.079907,-0.143394,-0.131833,0.007272,-0.275741,-0.028331,0.02221,-0.354926,-0.108248,0.033417,-0.219795,-0.115453,0.034494,-0.125509,-0.098331,-0.05652,-0.25085,-0.05246,-0.03421,-0.295556,-0.109439,-0.019732,-0.203032,-0.111936,-0.011727,-0.134921,-0.099083,A
0.0,0.0,-0.0,0.11113,-0.065622,-0.020524,0.173844,-0.206212,-0.027485,0.188539,-0.337078,-0.039543,0.188076,-0.430587,-0.04841,0.138321,-0.28777,0.008191,0.147588,-0.372993,-0.056085,0.138127,-0.285955,-0.101341,0.12837,-0.197677,-0.12168,0.069594,-0.288238,-0.005081,0.084572,-0.37296,-0.08215,0.084878,-0.243537,-0.118066,0.07797,-0.142838,-0.125237,0.005156,-0.275898,-0.026606,0.018741,-0.351673,-0.103824,0.030906,-0.217352,-0.110324,0.033295,-0.124092,-0.093287,-0.058763,-0.249658,-0.049487,-0.036934,-0.293039,-0.10465,-0.021488,-0.200676,-0.106615,-0.012678,-0.13308,-0.093645,A
0.0,0.0,-1e-06,-0.032662,-0.141089,0.082079,-0.019112,-0.260598,0.10167,0.014405,-0.363636,0.108674,0.019812,-0.437131,0.114198,-0.041413,-0.343294,0.016953,0.063331,-0.36931,0.052963,0.075737,-0.29068,0.091093,0.063493,-0.248101,0.111872,0.006618,-0.321192,-0.023566,0.111325,-0.318725,0.019666,0.104075,-0.243579,0.047458,0.076068,-0.213905,0.052087,0.058692,-0.280397,-0.051522,0.143769,-0.266532,0.000535,0.12521,-0.196568,0.026667,0.09718,-0.172837,0.020726,0.109488,-0.236242,-0.072647,0.163101,-0.21172,-0.027621,0.137034,-0.153427,-0.002776,0.108201,-0.133688,0.00052,A
0.0,0.0,-0.0,0.079433,-0.077597,-0.012687,0.116121,-0.207336,-0.021276,0.113772,-0.310074,-0.036706,0.109463,-0.394777,-0.04725,0.066266,-0.315814,0.014523,0.119731,-0.36465,-0.038419,0.12852,-0.273881,-0.071889,0.124283,-0.193317,-0.083434,0.017143,-0.319035,0.000514,0.090747,-0.352171,-0.052459,0.100546,-0.238718,-0.070345,0.094684,-0.156554,-0.06893,-0.029944,-0.307298,-0.021965,0.057555,-0.320154,-0.080821,0.065802,-0.200547,-0.078523,0.058179,-0.11903,-0.058761,-0.072235,-0.275566,-0.045445,0.016172,-0.282113,-0.085166,0.031138,-0.198137,-0.078916,0.02551,-0.136311,-0.062287,A
0.0,0.0,-0.0,0.106658,-0.053362,-0.01775,0.169472,-0.18044,-0.024041,0.182836,-0.301781,-0.03537,0.183136,-0.389197,-0.043719,0.138743,-0.265875,0.007941,0.153195,-0.345721,-0.048728,0.145046,-0.266359,-0.088186,0.134393,-0.184132,-0.105998,0.076538,-0.273706,-0.005032,0.096951,-0.352646,-0.072695,0.095929,-0.230035,-0.103743,0.086839,-0.135174,-0.109852,0.01753,-0.267378,-0.025525,0.039041,-0.33787,-0.094829,0.046673,-0.208752,-0.099574,0.04449,-0.121454,-0.083887,-0.042629,-0.24707,-0.047191,-0.013925,-0.284998,-0.098421,-0.003798,-0.193703,-0.099881,-0.001768,-0.128769,-0.087977,A
0.0,0.0,-0.0,0.103951,-0.058924,-0.018154,0.164757,-0.187749,-0.024808,0.177337,-0.306282,-0.036141,0.17934,-0.393492,-0.044508,0.133175,-0.27586,0.005034,0.149224,-0.34937,-0.04942,0.140806,-0.269701,-0.086361,0.131537,-0.189512,-0.102718,0.071502,-0.282454,-0.007262,0.092067,-0.358452,-0.071971,0.092464,-0.236112,-0.09974,0.086895,-0.141235,-0.104195,0.012662,-0.273618,-0.026894,0.034505,-0.339997,-0.094003,0.043582,-0.21094,-0.098346,0.043201,-0.12296,-0.083037,-0.046974,-0.249288,-0.047616,-0.01936,-0.287235,-0.097299,-0.006616,-0.196182,-0.098875,-0.002235,-0.130014,-0.08752,A
0.0,0.0,-0.0,0.105605,-0.053033,-0.0204,0.169596,-0.182116,-0.027574,0.182477,-0.303611,-0.038994,0.184466,-0.391946,-0.047187,0.138262,-0.272817,0.003174,0.156248,-0.346808,-0.05216,0.147644,-0.265886,-0.089374,0.137877,-0.184929,-0.105885,0.075923,-0.281545,-0.008247,0.098673,-0.354155,-0.073727,0.098238,-0.230731,-0.101833,0.091458,-0.136151,-0.106553,0.016538,-0.274905,-0.027264,0.041314,-0.337618,-0.095532,0.048781,-0.207038,-0.09971,0.046879,-0.118751,-0.084109,-0.043571,-0.253025,-0.047606,-0.012887,-0.28554,-0.098603,-0.001867,-0.193063,-0.100458,0.000762,-0.127684,-0.089105,A
0.0,0.0,-0.0,0.107916,-0.041897,-0.018309,0.18225,-0.163042,-0.024769,0.207693,-0.281803,-0.035762,0.216402,-0.370657,-0.044209,0.153944,-0.246213,0.002132,0.170144,-0.325576,-0.056289,0.15294,-0.244547,-0.096089,0.136835,-0.163312,-0.113524,0.089006,-0.259328,-0.010456,0.110795,-0.338099,-0.079347,0.099559,-0.217831,-0.110095,0.084921,-0.126322,-0.115851,0.027607,-0.258181,-0.030051,0.047084,-0.330512,-0.099312,0.045361,-0.202031,-0.103099,0.038703,-0.113651,-0.08684,-0.033973,-0.243227,-0.050748,-0.01072,-0.28204,-0.100689,-0.005085,-0.191584,-0.101042,-0.003558,-0.125701,-0.088429,A
0.0,0.0,-1e-06,-0.095052,-0.085644,-0.030081,-0.14741,-0.242383,-0.04289,-0.168284,-0.374468,-0.05741,-0.193175,-0.469571,-0.064212,-0.096353,-0.329527,-0.007042,-0.101951,-0.416001,-0.055576,-0.095253,-0.305478,-0.077375,-0.091354,-0.226052,-0.084378,-0.034284,-0.329015,-0.012706,-0.040064,-0.427264,-0.065157,-0.041731,-0.296039,-0.073371,-0.039376,-0.22751,-0.067014,0.030225,-0.311003,-0.026738,0.029047,-0.419897,-0.077536,0.01409,-0.291561,-0.057754,0.009896,-0.226119,-0.032325,0.092865,-0.275426,-0.044255,0.08427,-0.352222,-0.077509,0.061552,-0.266279,-0.063045,0.055602,-0.218382,-0.044926,A
0.0,0.0,-1e-06,-0.093225,-0.08606,-0.029789,-0.144782,-0.242255,-0.042978,-0.166113,-0.37301,-0.058116,-0.192324,-0.466611,-0.065846,-0.094825,-0.329322,-0.006588,-0.100216,-0.4141,-0.055471,-0.09329,-0.304854,-0.078655,-0.088695,-0.226392,-0.086856,-0.033639,-0.328168,-0.012473,-0.039102,-0.42523,-0.064817,-0.040058,-0.294867,-0.073261,-0.037178,-0.226176,-0.067302,0.029846,-0.309531,-0.026867,0.030515,-0.419087,-0.077868,0.01537,-0.291823,-0.058532,0.010761,-0.225227,-0.033313,0.091615,-0.273381,-0.044773,0.084143,-0.351173,-0.078329,0.061207,-0.265947,-0.06428,0.054628,-0.216579,-0.046432,A
0.0,0.0,-1e-06,-0.094043,-0.088439,-0.027529,-0.144224,-0.241967,-0.039887,-0.163289,-0.370848,-0.054747,-0.188172,-0.463329,-0.062684,-0.092418,-0.322926,-0.003914,-0.09853,-0.408394,-0.051311,-0.092788,-0.302062,-0.073996,-0.088127,-0.223927,-0.081978,-0.031852,-0.321202,-0.0105,-0.037933,-0.417583,-0.060877,-0.040412,-0.291578,-0.069381,-0.037154,-0.22325,-0.063913,0.030915,-0.303002,-0.025373,0.030225,-0.411403,-0.07435,0.01465,-0.287981,-0.055708,0.011177,-0.222088,-0.03153,0.092189,-0.267714,-0.0436,0.083367,-0.346229,-0.075596,0.060064,-0.263748,-0.061598,0.054501,-0.214413,-0.044147,A
0.0,0.0,-1e-06,-0.092485,-0.088889,-0.028447,-0.143032,-0.243427,-0.041621,-0.163546,-0.371658,-0.057345,-0.188655,-0.463707,-0.066117,-0.093352,-0.325342,-0.005077,-0.098992,-0.412848,-0.054571,-0.092446,-0.307898,-0.079292,-0.088394,-0.227591,-0.088085,-0.032705,-0.32183,-0.011503,-0.039353,-0.420949,-0.063881,-0.040733,-0.294328,-0.073688,-0.038083,-0.222128,-0.06846,0.030955,-0.302584,-0.026458,0.0298,-0.412868,-0.076083,0.013383,-0.289022,-0.058149,0.008528,-0.220602,-0.033958,0.093526,-0.266341,-0.044966,0.084267,-0.344681,-0.076499,0.061121,-0.263483,-0.062893,0.055947,-0.214614,-0.045632,A
0.0,0.0,-1e-06,-0.092515,-0.08787,-0.028155,-0.142371,-0.240322,-0.041819,-0.161191,-0.36928,-0.057982,-0.185318,-0.462427,-0.067221,-0.092035,-0.32236,-0.00648,-0.09691,-0.408912,-0.055519,-0.090888,-0.304102,-0.079496,-0.087118,-0.224282,-0.087952,-0.031483,-0.319086,-0.012877,-0.037172,-0.41775,-0.064352,-0.038893,-0.291758,-0.073179,-0.036302,-0.220766,-0.067881,0.03175,-0.300227,-0.027602,0.032091,-0.412242,-0.076765,0.015626,-0.288586,-0.057768,0.010669,-0.220318,-0.03332,0.093716,-0.264554,-0.045842,0.085707,-0.34365,-0.077518,0.062417,-0.262017,-0.063589,0.056715,-0.212832,-0.046309,A
0.0,0.0,-1e-06,-0.091336,-0.086933,-0.028425,-0.140737,-0.239755,-0.04129,-0.160184,-0.368666,-0.05629,-0.183013,-0.461413,-0.064127,-0.09203,-0.322623,-0.006392,-0.096334,-0.412706,-0.0535,-0.090331,-0.308709,-0.075801,-0.08711,-0.229207,-0.083118,-0.032038,-0.319477,-0.011846,-0.03667,-0.420386,-0.061354,-0.037827,-0.295038,-0.069607,-0.035732,-0.223636,-0.064039,0.030847,-0.300811,-0.025503,0.031249,-0.412508,-0.07342,0.015575,-0.289274,-0.05542,0.010113,-0.21991,-0.031657,0.092565,-0.265415,-0.042585,0.084773,-0.347411,-0.074012,0.062385,-0.265802,-0.060799,0.0562,-0.214582,-0.043904,A
0.0,0.0,-1e-06,-0.090003,-0.089293,-0.026618,-0.135574,-0.234319,-0.039498,-0.150875,-0.359141,-0.055111,-0.17398,-0.44879,-0.064346,-0.086864,-0.315318,-0.003435,-0.090362,-0.398517,-0.0499,-0.086359,-0.29896,-0.072774,-0.082964,-0.220896,-0.080941,-0.027985,-0.312101,-0.009874,-0.032271,-0.408515,-0.059028,-0.036842,-0.287272,-0.067564,-0.035142,-0.216697,-0.062344,0.032753,-0.292492,-0.02438,0.032928,-0.397366,-0.072048,0.014884,-0.280089,-0.054638,0.009092,-0.213975,-0.03138,0.09153,-0.255782,-0.04217,0.084274,-0.332445,-0.072778,0.060725,-0.255679,-0.059837,0.054427,-0.207647,-0.043479,A
0.0,0.0,-1e-06,-0.089993,-0.089724,-0.02634,-0.135532,-0.233746,-0.039388,-0.151584,-0.358037,-0.055345,-0.175461,-0.447515,-0.065146,-0.086446,-0.314447,-0.00265,-0.090405,-0.397774,-0.049273,-0.086927,-0.298996,-0.072852,-0.083846,-0.220622,-0.081475,-0.027652,-0.311281,-0.009287,-0.031822,-0.408137,-0.058271,-0.036653,-0.287703,-0.067307,-0.034871,-0.215441,-0.062433,0.033101,-0.291648,-0.024058,0.033492,-0.397448,-0.07114,0.015207,-0.280993,-0.054319,0.009716,-0.213473,-0.031585,0.092201,-0.254766,-0.042149,0.084286,-0.330838,-0.072298,0.060771,-0.25511,-0.059796,0.055182,-0.206878,-0.043868,A
0.0,0.0,-1e-06,-0.089851,-0.090339,-0.027264,-0.135893,-0.234099,-0.040882,-0.151404,-0.358671,-0.057249,-0.174711,-0.448782,-0.067211,-0.088289,-0.31626,-0.003789,-0.09194,-0.39845,-0.05031,-0.087189,-0.299142,-0.073229,-0.083452,-0.2206,-0.081452,-0.029379,-0.313222,-0.010302,-0.033665,-0.409538,-0.059831,-0.037339,-0.288861,-0.068656,-0.035507,-0.217048,-0.063578,0.031321,-0.293785,-0.024986,0.031182,-0.397978,-0.07279,0.014331,-0.281409,-0.055758,0.0088,-0.214498,-0.032748,0.090029,-0.256898,-0.043048,0.082756,-0.332477,-0.073547,0.060103,-0.256502,-0.06086,0.054263,-0.208691,-0.044772,A
